2025-07-10 08:25:26 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* Staring Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-10 08:25:32 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidUsers ********************
2025-07-10 08:25:33 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Hamburger Menu is displayed in the header menu
2025-07-10 08:25:33 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Language Selection icon is displayed in the header menu
2025-07-10 08:25:33 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - help button is displayed in the header menu
2025-07-10 08:25:33 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Avanatge logo Image is displayed in the header menu
2025-07-10 08:25:35 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - My Contests button is displayed in the header menu
2025-07-10 08:25:35 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Login button is displayed in the header menu
2025-07-10 08:25:36 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - Join button is displayed in the header menu
2025-07-10 08:25:36 [TestNG-test-ChromeTest-1] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* End Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-10 08:25:36 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-10 08:25:38 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with email image button in the login modal
2025-07-10 08:25:39 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-10 08:25:40 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-10 08:25:40 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-10 08:25:43 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log hamburger menu in the header
2025-07-10 08:25:44 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - My Account button displayed after successful login
2025-07-10 08:25:44 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Click on My Account button in the menu
2025-07-10 08:25:45 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - Click on logout from Player account modal
2025-07-10 08:25:45 [TestNG-test-ChromeTest-2] INFO  avantage.entertainment.testcases.LoginTestCases - ************* End Of Test Case: loginWithEmailValidUsers ********************
