2025-07-09 22:41:25 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* Staring Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-09 22:41:26 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - Hamburger Menu is displayed in the header menu
2025-07-09 22:41:26 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - Language Selection icon is displayed in the header menu
2025-07-09 22:41:26 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - help button is displayed in the header menu
2025-07-09 22:41:27 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - Avanatge logo Image is displayed in the header menu
2025-07-09 22:41:29 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - My Contests button is displayed in the header menu
2025-07-09 22:41:29 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - Login button is displayed in the header menu
2025-07-09 22:41:29 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - Join button is displayed in the header menu
2025-07-09 22:41:29 [main] INFO  avantage.entertainment.testcases.HomePageTestCases - ************* End Of Test Case: verifyHeaderElementsInHomePage ********************
2025-07-09 22:41:32 [main] INFO  avantage.entertainment.testcases.LoginTestCases - ************* Staring Of Test Case: loginWithEmailValidUsers ********************
2025-07-09 22:41:33 [main] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login button in the header
2025-07-09 22:41:34 [main] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Login with email image button in the login modal
2025-07-09 22:41:35 [main] INFO  avantage.entertainment.testcases.LoginTestCases - entered email id in the login modal
2025-07-09 22:41:35 [main] INFO  avantage.entertainment.testcases.LoginTestCases - entered pasword in the login modal
2025-07-09 22:41:35 [main] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log In button in the login modal
2025-07-09 22:41:39 [main] INFO  avantage.entertainment.testcases.LoginTestCases - Clicked on Log hamburger menu in the header
2025-07-09 22:41:39 [main] INFO  avantage.entertainment.testcases.LoginTestCases - My Account button displayed after successful login
2025-07-09 22:41:39 [main] INFO  avantage.entertainment.testcases.LoginTestCases - Click on My Account button in the menu
